date,labour_force,participation_rate,part_time_employment,full_time_employment,employment,employment_growth_yoy,employment_trend_growth,employment_to_population,unemployment,unemployment_rate,unemployment_rate_trend,hours_worked,hours_worked_trend,hours_worked_trend_growth,average_hours_worked,job_vacancies,private_job_vacancies,vacancies_to_lf_ratio
1999-02-28,9252.8,62.7,2232.6,6361.8,8594.4,1.7,1.7,58.2,658.4,7.1,7.1,1263939.6,1264973.4,1.1,33.8,87.2,75.0,0.9
1999-03-31,9271.1,62.7,2241.3,6379.6,8620.9,1.9,1.7,58.3,650.2,7.0,7.0,1271525.6,1267257.0,1.3,33.9,,,
1999-04-30,9269.7,62.6,2241.8,6381.0,8622.7,1.6,1.7,58.3,647.0,7.0,7.0,1271909.2,1269225.5,1.4,33.9,,,
1999-05-31,9261.5,62.5,2249.3,6361.5,8610.9,1.5,1.7,58.1,650.6,7.0,6.9,1269976.8,1271153.1,1.5,33.9,100.2,87.4,1.1
1999-06-30,9279.4,62.6,2257.4,6404.7,8662.0,1.8,1.7,58.4,617.4,6.7,6.9,1262954.9,1273384.1,1.7,33.9,,,
1999-07-31,9301.0,62.7,2256.2,6424.0,8680.1,1.9,1.7,58.5,620.9,6.7,6.8,1274334.3,1276671.8,1.9,33.9,,,
1999-08-31,9332.7,62.8,2250.1,6438.0,8688.2,1.8,1.7,58.5,644.5,6.9,6.8,1286674.6,1281579.7,2.2,33.9,106.9,92.3,1.1
1999-09-30,9360.8,62.9,2256.8,6444.8,8701.7,1.5,1.8,58.5,659.1,7.0,6.8,1285013.9,1287757.8,2.6,34.0,,,
1999-10-31,9377.0,63.0,2273.2,6468.4,8741.5,1.8,1.9,58.7,635.4,6.8,6.8,1299053.0,1293896.6,3.0,34.1,,,
1999-11-30,9354.0,62.7,2278.0,6473.5,8751.5,2.2,2.1,58.7,602.4,6.4,6.7,1299381.8,1298509.3,3.2,34.1,109.6,94.2,1.2
1999-12-31,9415.3,63.1,2297.1,6488.9,8786.0,2.3,2.2,58.9,629.4,6.7,6.7,1305936.3,1301107.3,3.2,34.1,,,
2000-01-31,9372.4,62.7,2283.5,6454.5,8738.0,1.8,2.4,58.5,634.3,6.8,6.6,1321722.9,1301979.4,3.1,34.0,,,
2000-02-29,9412.1,62.9,2313.2,6475.9,8789.1,2.3,2.6,58.7,623.0,6.6,6.5,1297678.6,1302260.3,2.9,34.0,118.1,100.3,1.3
2000-03-31,9458.0,63.1,2315.6,6521.4,8837.0,2.5,2.8,58.9,620.9,6.6,6.5,1299896.0,1302710.6,2.8,33.9,,,
2000-04-30,9478.3,63.2,2339.1,6534.8,8873.9,2.9,3.0,59.1,604.4,6.4,6.4,1294884.1,1303808.8,2.7,33.8,,,
2000-05-31,9478.0,63.1,2344.6,6525.5,8870.0,3.0,3.2,59.1,608.0,6.4,6.2,1309666.3,1305592.4,2.7,33.7,115.9,96.7,1.2
2000-06-30,9490.6,63.1,2320.9,6589.3,8910.2,2.9,3.3,59.3,580.4,6.1,6.1,1333222.3,1307631.0,2.7,33.7,,,
2000-07-31,9561.4,63.5,2367.5,6624.6,8992.1,3.6,3.3,59.7,569.3,6.0,6.1,1336721.9,1309174.2,2.5,33.6,,,
2000-08-31,9568.1,63.5,2384.8,6604.2,8989.1,3.5,3.2,59.7,579.0,6.1,6.0,1321479.9,1309372.8,2.2,33.6,114.4,99.5,1.2
2000-09-30,9555.5,63.3,2356.7,6628.9,8985.6,3.3,2.9,59.6,569.8,6.0,6.0,1323551.0,1308296.0,1.6,33.6,,,
2000-10-31,9533.5,63.1,2371.8,6588.7,8960.5,2.5,2.6,59.3,573.0,6.0,6.1,1309516.9,1306553.3,1.0,33.5,,,
2000-11-30,9497.8,62.8,2329.4,6573.6,8903.0,1.7,2.2,58.9,594.8,6.3,6.1,1302394.4,1304610.1,0.5,33.5,114.8,98.6,1.2
2000-12-31,9540.3,63.0,2376.4,6568.2,8944.6,1.8,1.9,59.1,595.7,6.2,6.2,1297683.3,1303190.1,0.2,33.5,,,
2001-01-31,9539.4,62.9,2410.3,6543.3,8953.6,2.5,1.7,59.0,585.8,6.1,6.3,1304966.9,1302577.5,0.0,33.5,,,
2001-02-28,9576.9,63.0,2397.8,6556.3,8954.2,1.9,1.5,58.9,622.7,6.5,6.4,1305162.2,1302936.8,0.1,33.5,99.7,85.6,1.0
2001-03-31,9582.9,63.0,2387.2,6576.8,8963.9,1.4,1.4,58.9,619.0,6.5,6.5,1300859.8,1303847.1,0.1,33.4,,,
2001-04-30,9670.8,63.5,2456.8,6558.1,9014.9,1.6,1.2,59.2,655.9,6.8,6.7,1303289.5,1304933.8,0.1,33.4,,,
2001-05-31,9674.9,63.5,2454.6,6553.4,9008.0,1.6,1.0,59.1,666.9,6.9,6.8,1311148.7,1305332.5,0.0,33.4,94.0,78.9,1.0
2001-06-30,9675.7,63.4,2484.5,6520.4,9004.9,1.1,0.8,59.0,670.8,6.9,6.9,1301832.3,1304994.7,-0.2,33.3,,,
